"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"8840207199","31121200-2","GRUPPI GENERATORI CON MOTORE AD ACCENSIONE A SCINTILLA","PO PERRINO - FORNITURA E POSA IN OPERA DI N^1 GENERATORE ELETTRICO DI EMERGENZA, PREVEDENDO L'OPZIONE DI FORNITURA DI UN SECONDO APPARATO GEMELLO - PROCEDURA NEGOZIATA AI SENSI DELL'ART. 36 CO.2 LETTERA B) DEL D.LGS. 50/2016"
"8877564D8E","45233141-9","LAVORI DI MANUTENZIONE STRADALE","INTERVENTI DI MANUTENZIONE STRAORDINARIA SULLE STRADE COMUNALI RICADENTI NEL CENTRO ABITATO DI RUVO DI PUGLIA- LOTTO N. 2"
"8858254E70","48218000-9","PACCHETTI SOFTWARE PER LA GESTIONE DI LICENZE","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI ABBONAMENTO DI N. 7 LICENZE D'USO DEL SOFTWARE AUTOCAD"
"8836710BC5","45410000-4","LAVORI DI INTONACATURA","LAVORI DI MESSA IN SICUREZZA DEI PROSPETTI DEL P.T.A. DI CEGLIE MESSAPICA (BR)"
"8808825858","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA IN NOLEGGIO DI N.3 LASER MULTIDISCIPLINARI A FIBRA DI TULLIO, COMPRENSIVO DI RELATIVO MATERIALE DI CONSUMO, PER LE NECESSITÀ DELLE STRUTTURE DI UROLOGIA P.O.C. 'SS.ANNUNZIATA', DI UROLOGIA P.O. 'VALLE D'ITRIA' DI CHIRURGIA UROLOGICA P.O. 'SAN PIO' DI CASTELLANETA DELLA ASL DI TARANTO"
"8861958F13","79952100-3","SERVIZI DI ORGANIZZAZIONE DI EVENTI CULTURALI","SERVIZI DI 'PROGETTAZIONE E REALIZZAZIONE DI ALLESTIMENTO SPAZI E SERVIZI CONNESSI' RELATIVI AL 'BIF&ST - BARI INTERNATIONAL FILM FESTIVAL' ED. 2021"
"8811241219","33920000-5","ATTREZZATURE E FORNITURE PER AUTOPSIA","FORNITURA E POSA DI N.8 CELLE MORTUARIO PRESSO OBITORIO DI SAN SEVERO"
"8866764D1D","45331000-6","LAVORI DI INSTALLAZIONE DI IMPIANTI DI RISCALDAMENTO, VENTILAZIONE E CLIMATIZZAZIONE","LAVORI DI EFFICCIENTAMENTO ENERGENICO DELLA SCUOLA MEDIA INFERIORE 'L. SANTARELLA' "
"8875644D1F","45315000-8","LAVORI DI INSTALLAZIONE DI IMPIANTI DI RISCALDAMENTO E DI ALTRI IMPIANTI ELETTRICI PER EDIFICI","LAVORI DI EFFICIENTAMENTO ENERGETICO, INSTALLAZIONE IMPIANTI DI PRODUZIONE DI ENERGIA DA FONTI RINNOVABILI, RELAMPING NEGLI EDIFICI SCOLASTICI"
"8808733C6B","32323500-8","SISTEMA DI VIDEOSORVEGLIANZA","APPALTO DEI LAVORI DI REALIZZAZIONE DEL SISTEMA DI VIDEOSORVEGLIANZA E DORSALE IN FIBRA OTTICA DEL COMUNE DI CORATO"
"8831871283","33169500-7","SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA","FORNITURA DI UN SISTEMA PER CHIRURGIA MINI-INVASIVA ROBOTICA DA DESTINARE AL BLOCCO OPERATORIO DEL DEA - P.O. VITO FAZZI DI LECCE"
"8819295876","45233125-1","LAVORI DI COSTRUZIONE DI NODI STRADALI","MESSA IN SICUREZZA DELL'INTERSEZIONE STRADALE DI VIA LAGRAVINESE, VIA CAPITANIO E VIA ARENAZZA"
"88213128F1","71221000-3","SERVIZI DI PROGETTAZIONE DI EDIFICI","SERVIZI DI INGEGNERIA PER PROGETTAZIONE E COORD. SICUREZZA  PER LAVORI DI RISTRUTTURAZIONE IMMOBILE VIA B. FORLEO-FRANCAVILLA"
"8845631D9C","45454100-5","LAVORI DI RESTAURO","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO IN APPALTO DEGLI INTERVENTI DI RIFUNZIONALIZZAZIONE DELL'IMMOBILE COMUNALE - EX CHIESA DI SAN MATTEO - COMPLESSO MONASTERO DELLE BENEDETTINE - PER LA REALIZZAZIONE DI UN OSTELLO A VALERE SUI FONDI DEL PROGRAMMA DI COOPERAZIONE GRECIA - ITALIA - GARA TELEMATICA TRAMITE PIATTAFORMA EMPULIA"
"8854104DC0","50232100-1","SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE","EFFICIENTAMENTO ENERGETICO DEGLI IMPIANTI DI PUBBLICA ILLUMINAZIONE E DI ALCUNI IMPIANTI DI ILLUMINAZIONE DI IMMOBILI COMUNALI"
"8840686CDE","77211400-6","SERVIZI DI TAGLIO ALBERI","PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DI UN BANDO DI GARA AI SENSI DEL COMBINATO DISPOSTO DALL'ARTICOLO 63 DEL D.LGS. 50/2016 E DALL'ART. 1 COMMA 2 LETT. B) DELLA LEGGE DI CONVERSIONE N. 120/2020 MODIFICATO DALL'ART. 51, COMMA 1, LETTERA A), SUB. 2.2), DECRETO-LEGGE N. 77 DEL 2021, CON IL CRITERIO DEL PREZZO PIÙ BASSO AI SENSI DELL'ART. 36, COMMA 9-BIS DEL D.LGS 50/2016 E SS.MM.II. DA ESPERIRE IN MODALITÀ TELEMATICA MEDIANTE LA PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEI LAVORI INERENTI IL PSR PUGLIA 2007/2013, MISURA 226 'RICOSTITUZIONE DEL POTENZIALE FORESTALE ED INTERVENTI PREVENTIVI' AZIONE 1, INTERVENTI SELVICOLTURALI E COSTRUTTIVI DA REALIZZARE NEL BOSCO 'CUGNETTO DELLA NAVA', DEL SUB-COMPLESSO FORESTALE 'MANATECCO' IN TERRITORIO DEL COMUNE DI PESCHICI (FG), (LOTTO 4)'"
"86573932B6","50230000-6","RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI ALLE STRADE ED ALTRE ATTREZZATURE","'RIQUALIFICAZIONE DI PIAZZA VITTORIO EMANUELE II E SPAZI CIRCOSTANTI'"
"8841094D8F","77211400-6","SERVIZI DI TAGLIO ALBERI","PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DI UN BANDO DI GARA AI SENSI DEL COMBINATO DISPOSTO DALL'ARTICOLO 63 DEL D.LGS. 50/2016 E DALL'ART. 1 COMMA 2 LETT. B) DELLA LEGGE DI CONVERSIONE N. 120/2020 MODIFICATO DALL'ART. 51, COMMA 1, LETTERA A), SUB. 2.2), DECRETO-LEGGE N. 77 DEL 2021, CON IL CRITERIO DEL PREZZO PIÙ BASSO AI SENSI DELL'ART. 36, COMMA 9-BIS DEL D.LGS 50/2016 E SS.MM.II. DA ESPERIRE IN MODALITÀ TELEMATICA MEDIANTE LA PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEI LAVORI INERENTI IL PSR PUGLIA 2007/2013, MISURA 226 'RICOSTITUZIONE DEL POTENZIALE FORESTALE ED INTERVENTI PREVENTIVI' AZIONE 1, INTERVENTI SELVICOLTURALI E COSTRUTTIVI DA REALIZZARE NEL BOSCO 'COPPA DI MASTRO LONARDO', DEL SUB-COMPLESSO FORESTALE MANATECCO DEL COMUNE DI PESCHICI (FG), (LOTTO 3A)'."
"8841935396","77211400-6","SERVIZI DI TAGLIO ALBERI","PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DI UN BANDO DI GARA AI SENSI DEL COMBINATO DISPOSTO DALL'ARTICOLO 63 DEL D.LGS. 50/2016 E DALL'ART. 1 COMMA 2 LETT. B) DELLA LEGGE DI CONVERSIONE N. 120/2020 MODIFICATO DALL'ART. 51, COMMA 1, LETTERA A), SUB. 2.2), DECRETO-LEGGE N. 77 DEL 2021, CON IL CRITERIO DEL PREZZO PIÙ BASSO AI SENSI DELL'ART. 36, COMMA 9-BIS DEL D.LGS 50/2016 E SS.MM.II. DA ESPERIRE IN MODALITÀ TELEMATICA MEDIANTE LA PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEI LAVORI INERENTI IL PSR PUGLIA 2007/2013, MISURA 226 'RICOSTITUZIONE DEL POTENZIALE FORESTALE ED INTERVENTI PREVENTIVI' AZIONE 1, INTERVENTI SELVICOLTURALI E COSTRUTTIVI DA REALIZZARE NEL BOSCO 'COPPA IANCHISE',DEL SUB-COMPLESSO FORESTALE 'MANATECCO' IN TERRITORIO DEL COMUNE DI PESCHICI (FG), (LOTTO 5)."
"88424772DC","77211400-6","SERVIZI DI TAGLIO ALBERI","PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DI UN BANDO DI GARA AI SENSI DEL COMBINATO DISPOSTO DALL'ARTICOLO 63 DEL D.LGS. 50/2016 E DALL'ART. 1 COMMA 2 LETT. B) DELLA LEGGE DI CONVERSIONE N. 120/2020 MODIFICATO DALL'ART. 51, COMMA 1, LETTERA A), SUB. 2.2), DECRETO-LEGGE N. 77 DEL 2021, CON IL CRITERIO DEL PREZZO PIÙ BASSO AI SENSI DELL'ART. 36, COMMA 9-BIS DEL D.LGS 50/2016 E SS.MM.II. DA ESPERIRE IN MODALITÀ TELEMATICA MEDIANTE LA PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEI LAVORI INERENTI IL PSR PUGLIA 2007/2013, MISURA 226 'RICOSTITUZIONE DEL POTENZIALE FORESTALE ED INTERVENTI PREVENTIVI' AZIONE 1, INTERVENTI SELVICOLTURALI E COSTRUTTIVI DA REALIZZARE NEL BOSCO 'VALLONE DI ULSO', DEL SUB-COMPLESSO FORESTALE 'MANATECCO' IN TERRITORIO DEL COMUNE DI PESCHICI (FG), (LOTTO 2)."
"8852533D52","85312400-3","SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI","SUPPORTO AL WELFARE D'ACCESSO"
"8775986CBD","71315000-9","IMPIANTI TECNICI DI EDIFICI","INTERVENTI DI MANUTENZIONE STRAORDINARIA NELLE CENTRALI TERMICHE E ANTINCENDIO DELLE SCUOLE MATERNE, PRIMARIE E SECONDARIE DI PRIMO GRADO AFFIDAMENTO DEL SERVIZIO DI INGEGNERIA ED ARCHITETTURA PER LA PROGETTAZIONE"
"8848441C7F","33690000-3","MEDICINALI VARI","PROCEDURA NEGOZIATA PER LA FORNITURA DEL FARMACO AXUMIN IN SOMMINISTRAZIONE PER LA MEDICINA NUCLEARE DEL P.O. DI BARLETTA"
"8821010FB7","45233140-2","LAVORI STRADALI","AFFIDAMENTO DEI LAVORI DI 'RIQUALIFICAZIONE DELLA VIABILITÀ URBANA CON IL RIFACIMENTO DI TRATTI DELLA PAVIMENTAZIONE BITUMINOSA O IN BASOLATO CALCAREO CON RIPARAZIONE DEI MARCIAPIEDI ADIACENTI'."
"8840815754","45454100-5","LAVORI DI RESTAURO","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO IN APPALTO DELLA REALIZZAZIONE DI UN PERCORSO TURISTICO CICLOPEDONALE LUNGO IL TRATTO DELLA VIA TRAIANA CHE ATTRAVERSA IL CENTRO URBANO DI RUVO DI PUGLIA CON AREE ATTREZZATE PER LA SOSTA IN LARGO DI VAGNO E PIAZZA BOVIO"
"8828258CF5","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","FORNITURA N.2 SISTEMI MOTORIZZATI ELETTRICI E CENTRALINA PER MICRO-CHIRURGIA CON RELATIVO MATERIALE DI CONSUMO - UU.OO. ORTOPEDIA PP.OO. LECCE E COPERTINO"
"880308036D","34114121-3","AMBULANZE","PROCEDURA NEGOZIATA IN MODALITÀ TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI NOLEGGIO DI N. 15 AMBULANZE DI TIPO 'A' DA ADIBIRE NEL SISTEMA EMERGENZA-URGENZA - 118 AFFIDATO ALLA SANITASERVICE ASL FG S.R.L."
"8767481234","85312400-3","SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI","SERVIZIO DI ASSISTENZA SCOLASTICA SPECIALISTICA"
"8846423B31","90711500-9","MONITORAGGIO AMBIENTALE DIVERSO DA QUELLO PER COSTRUZIONI","CARATTERIZZAZIONE DEI SUOLI ED ANALISI AGRONOMICA, GENETICA E FISIOLOGICA PER LO STUDIO E LA DIFESA DALLA DIFFUSIONE DI SPECIE ALIENE NELL'AMBITO DEL PROGETTO INTERREG V-A GRECIA-ITALIA 2014/2020 - BEST"
"8825003ED8","50730000-1","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO","MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI DI CONDIZIONAMENTO TIPO SPLIT SYSTEM, UNICO E VENTILCONVETTORI A SERVIZIO DELLE STRUTTURE APPARTENENTI AL POLICLINICO RIUNITI DI FOGGIA"
"8841731B3B","45111230-9","LAVORI DI STABILIZZAZIONE DEL TERRENO","16IR729/G1  - CASTELLUCCIO VALMAGGIORE (FG) - LAVORI DI MITIGAZIONE DEL DISSESTO IDROGEOLOGICO IN LOCALITÀ SPINELLE - VIA DEGLI EMIGRANTI"
"8840230493","38434500-1","APPARECCHI PER ANALISI BIOCHIMICHE","ACQUISIZIONE DI UN GASCROMATOGRAFO CON SPETTROMETRO DI MASSA A SINGOLO QUADRUPOLO, FINANZIATA NELL'AMBITO DEL PROGETTO CC-2011-2353868"
"8829884AC7","90712400-5","SERVIZI DI PIANIFICAZIONE STRATEGICA PER LA GESTIONE O CONSERVAZIONE DELLE RISORSE NATURALI","ANALISI DEGLI ASPETTI ENTOMOLOGICI NELL'AMBITO DELLA SECONDA AZIONE PILOTA DEL PROGETTO BEST INTERREG V-A GRECIA-ITALIA 2014/2020"
"88204322C0","85121270-6","SERVIZI PSICHIATRICI O PSICOLOGICI","SERVIZI SPECIALISTICI DI SUPPORTO PSICOLOGICO"
"8840207199","31121200-2","GRUPPI GENERATORI CON MOTORE AD ACCENSIONE A SCINTILLA","PO PERRINO - FORNITURA E POSA IN OPERA DI N^1 GENERATORE ELETTRICO DI EMERGENZA, PREVEDENDO L'OPZIONE DI FORNITURA DI UN SECONDO APPARATO GEMELLO - PROCEDURA NEGOZIATA AI SENSI DELL'ART. 36 CO.2 LETTERA B) DEL D.LGS. 50/2016"
"8758542182","85140000-2","VARI SERVIZI SANITARI","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA DOMICILIARE INTEGRATA (ADI) PER NR. 12 MESI"
"87499173EE","45262321-7","LAVORI DI PAVIMENTAZIONE","LAVORI DI COMPLETAMENTO LAMABELVEDERE LOTTO III"
"880005966A","79341000-6","SERVIZI PUBBLICITARI","SERVIZIO DI  PUBBLICITA' LEGALE PER LE PUBBLICAZIONE DEI BANDI E DEGLI AVVISI DELL'A.O.U.C. POLICLINICO DI BARI."
"88527597D4","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","INTERVENTO DI RIQUALIFICAZIONE E FRUIZIONE DGLI AMBIENTI DI PIANO TERRA DI PALAZZO AVITAJA"
"8840337CDD","31311000-9","CONNESSIONI PER LINEE DI ALIMENTAZIONE","PO PERRINO - REALIZZAZIONE DELLA LINEA ELETTRICA DI EMERGENZA PER L'ALIMENTAZIONE DEL QUADRO BT DELLA CABINA ELETTRICA AD03, PREVEDENDO L'OPZIONE PER LA SUCCESSIVA REALIZZAZIONE DELLA LINEA DI ALIMENTAZIONE DEL QUADRO DEL REPARTO ANATOMIA PATOLOGICA - PROCEDURA NEGOZIATA AI SENSI DELL'ART. 36 CO.2 LETTERA B) DEL D.LGS. 50/2016."
"8764470D6F","71335000-5","STUDI DI INGEGNERIA","INTERVENTO DI ADEGUAMENTO SISMICO, ADEGUAMENTO ALLA NORMA VIGENTE IN MATERIA DI EDILIZIA SCOLASTICA, EFFICIENTAMENTO ENERGETICO DELLA SCUOLA MEDIA 'DANTE ALIGHIERI' - AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA"
"881925791A","45440000-3","LAVORI DI TINTEGGIATURA E POSA IN OPERA DI VETRATE","LAVORI DI EFFICIENTAMENTO ENERGETICO DELL'INVOLUCRO E DI RIQUALIFICAZIONE DELLE FACCIATE DELLA SEDE DI UFFICI REGIONALI SITA IN BARI VIA CELSO ULPIANI "
"8796848C9B","71323200-0","SERVIZI DI PROGETTAZIONE TECNICA DI IMPIANTI","SERVIZI DI INGEGNERIA E ARCHITETTURA PER LA PROGETTAZIONE DI FATTIBILITÀ TECNICO-ECONOMICA, DEFINITIVA ED ESECUTIVA RELATIVA AL MIGLIORAMENTO DELLE INFRASTRUTTURE E IMPIANTI A SERVIZIO DEI DATACENTER DELLA REGIONE PUGLIA"
"88174630A8","45454000-4","LAVORI DI RISTRUTTURAZIONE","FESR 2014-2020 - LAVORI DI RIFUNZIONALIZZAZIONE DEL VECCHIO OSPEDALE DI RUVO DI PUGLIA PER RICONVERSIONE IN PTA."
"8828242FC0","34928470-3","SEGNALETICA","LAVORI DI FORNITURA E POSA IN OPERA DEL 'SISTEMA DI IDENTITÀ VISIVA/WAYFINDING E IDENTITÀ AMBIENTALE SECONDO LE LINEE GUIDA HOSPITALITY PER L'ACCOGLIENZA NEL PLESSO CHIRURGICO MATERNO INFANTILE DELL'AZIENDA "
"86777788F0","50421000-2","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE","SERVIZIO ASSISTENZA TECNICA E MANUTENZIONE DEL TIPO FULL RISK DI N. 3 IMPIANTI DI TRATTAMENTO E DISTRIBUZIONE ACQUE PER LA DIALISI PRESSO GLI STABILIMENTI OSPEDALIERI DI MARTINA FRANCA, MANDURIA E GROTTAGLIE PER UNA DURATA DI 36 MESI"
"881159021A","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","INTERVENTI URGENZI DI REALIZZAZIONE DI STRUTTURA ACCOGLIENZA PER MIGRANTI OCCUPATI IN AGRICOLTURA PRESSO CARA DI BORGO MEZZANONE"
"882939466C","64112000-4","SERVIZI POSTALI PER LA CORRISPONDENZA","AFFIDAMENTO DEL SERVIZIO POSTALE PER L'ASL BT"
"8717528BAC","55523100-3","SERVIZI DI MENSA SCOLASTICA","AFFIDAMENTO IN GESTIONE DEI SERVIZI DI REFEZIONE NELLE SCUOLE DELL"
"8838923DFE","33690000-3","MEDICINALI VARI","FORNITURA FARMACO HAEMATE P (FATTORE VIII ) DITTA CSL BEHRING"
"8803827BDC","85311300-5","SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI","ASSISTENZA SPECIALISTICA MINORI DISABILI - ANNO 2021-2022"
"88115912ED","90510000-5","TRATTAMENTO E SMALTIMENTO DEI RIFIUTI","SERVIZIO DI RIMOZIONE E SMALTIMENTO RIFIUTI URBANI PRODOTTI NELL'INSEDIAMENTO SITO IN LOCALITÀ TORRETTA ANTONACCI (GRAN GHETTO) - SAN SEVERO (FG)"
"8730686601","90712400-5","SERVIZI DI PIANIFICAZIONE STRATEGICA PER LA GESTIONE O CONSERVAZIONE DELLE RISORSE NATURALI","ANALISI DELL'AGROBIODIVERSITÀ E STUDIO DELLE SPECIE VEGETALI COLTIVATE A RISCHIO DI ESTINZIONE NELL'AREA DELL'AZIONE PILOTA 1 DEL PROGETTO BEST E RELATIVO PIANO DI AZIONE"
"88160881F8","45236100-1","LAVORI DI SUPERFICIE PER IMPIANTI SPORTIVI VARI","MANUTENZIONE STRAORDINARIA CAMPO SPORTIVO VITO CURLO - SOSTITUZIONE PAVIMENTAZIONE CAMPO DA GIOCO DA ERBA NATURA-LE A MANTO ERBOSO ARTIFICIALE"
"8811684FA8","85311000-2","SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO","INDIVIDUAZIONE DEL SOGGETTO ATTUATORE DEGLI INTERVENTI PREVISTI DAL PROGETTO SIPROIMI EX SPRAR (SERVIZIO PER RICHIEDENTI ASILO E RIFUGIATI) PER IL TRIENNIO 2021/2023 (CATEGORIA ORDINARI). "
"875120392A","45454100-5","LAVORI DI RESTAURO","RIGENERAZIONE URBANA SOSTENIBILE - RECUPERO E ADEGUAMENTO FUNZIONALE DEL CONVENTO DI S. MARIA"
"876207228E","90921000-9","SERVIZI DI DISINFEZIONE E DISINFESTAZIONE","SERVIZIO QUINQUENNALE PER IL CONTROLLO, PREVENZIONE E CONTENIMENTO DEI RISCHI DA AGENTI MICROBIOLOGICI, COMPRESO LEGIONELLA, NEGLI IMPIANTI IDRICI DI DISTRIBUZIONE DELL"
"8792915EFD","45233141-9","LAVORI DI MANUTENZIONE STRADALE","MESSA IN SICUREZZA DEL PARCHEGGIO DI VIA BELVEDERE ED ALTRE STRADE"
"8765101629","45246100-4","COSTRUZIONE DI ARGINI FLUVIALI","16IR773/G1 - MOLFETTA PIP -"
"87762831D8","45246200-5","LAVORI DI PROTEZIONE DELLE SPONDE","16IR386/G1 - COMUNE DI DELICETO (FG) INTERVENTO DI L'ESECUZIONE DEI LAVORI DI 'SISTEMAZIONE TORRENTE GAVITELLE PER RISCHIO IDROGEOLOGICO DEL CENTRO ABITATO"
"8775828A5B","45111230-9","LAVORI DI STABILIZZAZIONE DEL TERRENO","16IR406/G1 - ALTAMURA (BA) - LAVORI PER 'INTERVENTI CONSOLIDAMENTO MONITORAGGIO DEL CATASTO CAVITÀ SOTTERRANEE - ZONA 1 "
"8743008E6E","90612000-0","SERVIZI DI SPAZZAMENTO STRADE","APPROVAZIONE BANDO E ATTI DELLA GARA EUROPEA A PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI RACCOLTA E TRASPORTO DEI RIFIUTI SOLIDI URBANI, DI SPAZZAMENTO E ALTRI SERVIZI COMPLEMENTARI DEL COMUNE DI TURI. 'GARA PONTE' EX ART.24 COMMA 2 LEGGE REGIONE PUGLIA N.24/2012 MODIFICATO DALL'ART. 14 COMMA 1 LETTERA B) DELLA LEGGE REGIONE PUGLIA N.20/2016."
"8824155311","45215400-1","CIMITERO","ACCORDO QUADRO DI DURATA BIENNALE LAVORI DI MANUTENZIONE OPERE EDILI ED IMPIANTISTICHE CIMITERO COMUNALE."
"8797399351","45233120-6","LAVORI DI COSTRUZIONE DI STRADE","APPALTO LAVORI DENOMINATO 'PROGETTO DI RECUPERO E RIQUALIFICAZIONE DI AREA PUBBLICA DI PROPRIETÀ COMUNALE IN FASANO CENTRO TRA LE VIE TEOCRITO, LUCREZIO, ESIODO E VIRGILIO"
"88107962DF","45261200-6","LAVORI DI COPERTURA E TINTEGGIATURA DI TETTI","MANUTENZIONE STRAORDINARIA DEI TERRAZZI DELLE SCUOLE DELL'INFANZIA"
"8792843396","42418000-9","MACCHINARI DI SOLLEVAMENTO, MOVIMENTAZIONE, CARICO E SCARICO","PROCEDURA NEGOZIATA TELEMATICA EX ART. 36 C. 2 LETT. B DLGS 50/2016 PER L'AFFIDAMENTO DELLA FORNITURA DI UN CARRELLO ELEVATORE"
"8808344B68","45454000-4","LAVORI DI RISTRUTTURAZIONE","INTERVENTO DI MESSA IN SICUREZZA E RIQUALIFICAZIONE DELLA SCUOLA DELL'INFANZIA 'C. SALVEMINI'. PIANO REGIONALE TRIENNALE 2018-2020. ANNUALITÀ 2019. FINANZIAMENTO DECRETO MINISTERO DELL'ISTRUZIONE N. 28 DEL 09.06.2020"
"87907883BF","42416000-5","ASCENSORI, ELEVATORI A SKIP, IMPIANTI DI SOLLEVAMENTO, SCALE E MARCIAPIEDI MOBILI","LAVORI DI ADEGUAMENTO E NUOVA INSTALLAZIONE IMPIANTI ASCENSORI E SERVOSCALA PER L'ABBATTIMENTO DELLE BARRIERE ARCHITETTONICHE A NORMA DI LEGGE 13/89 SU EDIFICI ESISTENTI IN BRINDISI E PROVINCIA "
"8778301326","55410000-7","SERVIZI DI GESTIONE BAR","AFFIDAMENTO IN CONCESSIONE  DELLA GESTIONE DEL PARCO BELVEDERE, COMPRESE LE ATTIVITÀ DI ANIMAZIONE INTERNE AL PARCO ED ANNESSO CHIOSCO DESTINATO ALLA SOMMINISTRAZIONE DI ALIMENTI E BEVANDE"
"88026554B4","33192000-2","MOBILI PER USO MEDICO","PROCEDURA APERTA PER LA FORNITURA E POSA IN OPERA DI N. 44 TRAVI TESTALETTO A PARETE DA INSTALLARE PRESSO IL PRESIDIO 'COL.  D'AVANZO'."
"8810532901","66510000-8","SERVIZI ASSICURATIVI","AFFIDAMENTO DEL SERVIZIO ASSICURATIVO RCT-O DELL'AMIU TRANI SPA"
"880422437C","33140000-3","MATERIALI MEDICI","FORNITURA IN SERVICE DI SISTEMA PER TERMOABLAZIONE A RADIOFREQUENZA."
"8757606D15","45243110-6","LAVORI DI CONSOLIDAMENTO DELLE SCOGLIERE","16IR502/G1 - CONSOLIDAMENTO DELLE CAVITA' MARINE E DELLE PARETI ROCCIOSE 'GROTTA PIETROPAOLO' IN POLIGNANO A MARE"
"874971908A","90911200-8","SERVIZI DI PULIZIA DI EDIFICI","SERVIZIO DI PULIZIA PRESSO GLI IMMOBILI IN USO ALL'AMMINISTRAZIONE COMUNALE DI POLIGNANO A MARE E SERVIZIO DI ATTACCHINAGGIO"
"8776567C32","39150000-8","ARREDI ED ATTREZZATURE VARIE","FORNITURA DI ARREDI SANITARI PER IL DEU"
"879087183C","55512000-2","SERVIZI DI GESTIONE MENSA","SERVIZIO MENSA SCOLASTICA ALUNNI SCUOLE MATERNE ZEMA E COLLODI ANNO SCOLASTICO 2021/2022-2022/2023"
"8794622FA6","31121200-2","GRUPPI GENERATORI CON MOTORE AD ACCENSIONE A SCINTILLA","PO PERRINO - FORNITURA E POSA IN OPERA DI N^1 GENERATORE ELETTRICO DI EMERGENZA INCLUSA LA LINEA DI COLLEGAMENTO AL QUADRO ELETTRICO BT DEL BLOCCO AD03 E PREDISPOSIZIONE DELLE OPERE OPZIONALI FINALIZZATE ALLA DUPLICAZIONE DEGLI APPARATI."
"87877497E1","45330000-9","LAVORI DI IDRAULICA","AEROPORTO DI BARI-PALESE - AFFIDAMENTO DEI LAVORI DELLE “OPERE DI SMALTIMENTO DELLE ACQUE METEORICHE PROVENIENTI DAL PARCHEGGIO SOSTA AUTOVETTURE P6”."
"8754767646","71621000-7","SERVIZI DI ANALISI O CONSULENZA TECNICA","SERVIZIO DI VERIFICA, AI FINI DELLA VALIDAZIONE, DEL PROGETTO DEFINITIVO AVENTE AD OGGETTO 'RECUPERO E RIQUALIFICAZIONE FUNZIONALE DI PALAZZO TATTOLI"
"87968584DE","45332200-5","LAVORI IDRAULICI","LAVORI PER IL RIFACIMENTO SERVIZI IGIENICI  E CONDOTTE TERMICHE SCUOLA MEDIA 'G. GALILEI'"
"8769960FEC","85110000-3","SERVIZI OSPEDALIERI E AFFINI","PROCEDURA APERTA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEL SERVIZIO MONITORAGGIO AMBIENTALE GAS ANESTETICI IN CONTINUO, PRESSO I COMPARTI OPERATORI DEI PRESIDI OSPEDALIERI SS ANNUNZIATA, S.G. MOSCATI E DI CASTELLANETA, GROTTAGLIE, MANDURIA E MARTINA FRANCA E MASSAFRA PER UNA DURATA DI ANNI 3 (TRE). "
"877392257B","32330000-5","APPARECCHI PER REGISTRAZIONE E RIPRODUZIONE DI SUONI E IMMAGINI","FORNITURA, LA CONFIGURAZIONE, L'ASSISTENZA TECNICA E LA MANUTENZIONE DI UN NUOVO IMPIANTO PER LE ATTIVITÀ DI REGISTRAZIONE E MONITORAGGIO DEL CORECOM PUGLIA"
